customer_id,first_name,last_name,gender,date_of_birth,city,state,occupation,employment_type,annual_income,credit_score,customer_since,risk_segment
100063,Rohan,Iyer,Female,1966-01-16,New Delhi,Delhi,Healthcare,Salaried,1032254.59,696,2024-03-13,Medium
100064,Vihaan,Patel,Male,1988-01-11,Kolkata,West Bengal,Education,Business Owner,1050414.85,736,2024-06-13,Medium
100065,Nikhil,Rao,Female,1990-01-10,New Delhi,Delhi,Other,Self-employed,632894.05,751,2015-03-03,Low
100066,Karan,Verma,Female,1987-01-11,Kolkata,West Bengal,Healthcare,Salaried,1227119.64,660,2020-11-04,High
100067,Karan,Shah,Female,1985-01-11,Mangaluru,Karnataka,Government,Self-employed,551316.17,725,2023-08-29,Medium
100068,Kavya,Shah,Female,1975-01-14,Chennai,Tamil Nadu,Finance,Salaried,906533.59,736,2019-10-21,Medium
100069,Karan,Iyer,Male,1996-01-09,Udaipur,Rajasthan,Government,Salaried,1563613.22,689,2024-09-10,Medium
100070,Rohan,Shah,Female,1972-01-15,Kolkata,West Bengal,Healthcare,Salaried,864454.83,786,2017-01-29,Low
100071,Aarav,Patel,Male,1995-01-09,Mysuru,Karnataka,Manufacturing,Salaried,1064949.01,670,2020-09-02,High
100072,Isha,Sharma,Female,1968-01-16,Nagpur,Maharashtra,Government,Self-employed,859447.25,690,2023-10-10,Medium
100073,Meera,Rao,Male,1981-01-12,Madurai,Tamil Nadu,Retail,Salaried,1079809.04,721,2023-11-03,Medium
100074,Siddharth,Rao,Female,1986-01-11,New Delhi,Delhi,Other,Salaried,495532.55,643,2021-09-14,High
100075,Aarav,Reddy,Male,2001-01-07,New Delhi,Delhi,Education,Self-employed,721403.77,718,2017-01-15,Medium
100076,Diya,Sharma,Male,2004-01-07,Mumbai,Maharashtra,Finance,Salaried,523726.36,730,2021-11-18,Medium
100077,Aditi,Mehta,Female,1974-01-14,Chennai,Tamil Nadu,Other,Self-employed,832544.83,619,2020-06-28,High
100078,Ananya,Das,Female,1973-01-14,Udaipur,Rajasthan,IT,Business Owner,397057.85,683,2016-04-24,Medium
100079,Kavya,Mehta,Female,1981-01-12,Warangal,Telangana,Finance,Contract,853691.43,788,2018-04-25,Low
100080,Riya,Mishra,Female,1990-01-10,Surat,Gujarat,Other,Self-employed,302356.16,629,2020-08-18,High
100081,Ananya,Rao,Male,1961-01-17,Hyderabad,Telangana,Finance,Salaried,995802.48,668,2021-05-21,High
100082,Neha,Das,Female,1968-01-16,Jaipur,Rajasthan,Healthcare,Salaried,959610.87,607,2016-04-03,High
100083,Neha,Kumar,Male,1971-01-15,Surat,Gujarat,Education,Business Owner,481277.4,629,2015-07-25,High
100084,Aarav,Mehta,Male,1995-01-09,New Delhi,Delhi,Government,Self-employed,763362.05,714,2021-02-06,Medium
100085,Riya,Shah,Male,1978-01-13,Vadodara,Gujarat,Manufacturing,Salaried,423160.22,567,2023-12-19,Very High
100086,Vihaan,Das,Male,1985-01-11,Surat,Gujarat,Education,Salaried,640757.19,689,2022-10-24,Medium
100087,Aditya,Patel,Female,1986-01-11,Warangal,Telangana,Government,Salaried,2319367.84,709,2021-02-21,Medium
100088,Siddharth,Reddy,Male,1967-01-16,Nagpur,Maharashtra,Manufacturing,Contract,289514.05,709,2017-07-10,Medium
100089,Isha,Shah,Male,2002-01-07,Mysuru,Karnataka,,Salaried,1035941.29,717,2026-01-28,Medium
100090,Riya,Reddy,Male,1966-01-16,Hyderabad,Telangana,Other,Salaried,742790.21,650,2018-12-27,High
100091,Isha,Joshi,Male,1991-01-10,New Delhi,Delhi,Finance,Self-employed,977706.93,671,2021-10-17,High
100092,Vihaan,Nair,Male,1995-01-09,Madurai,Tamil Nadu,IT,Business Owner,1187692.41,719,2018-04-04,Medium
100093,Meera,Kumar,Female,1979-01-13,Kolkata,West Bengal,Government,Contract,1175324.94,734,2021-10-09,Medium
100094,Meera,Iyer,Female,1993-01-09,Vadodara,Gujarat,Government,Salaried,576264.33,743,2019-11-30,Medium
100095,Rahul,Sharma,Male,1982-01-12,Kolkata,West Bengal,Manufacturing,Contract,655176.31,752,2016-03-08,Low
100096,Riya,Patel,Female,2003-01-07,Pune,Maharashtra,IT,Salaried,453383.05,688,2015-08-03,Medium
100097,Rohan,Gupta,Male,2003-01-07,Warangal,Telangana,Education,Salaried,438471.96,649,2019-07-14,High
100098,Aarav,Iyer,Male,2000-01-08,Bengaluru,Karnataka,Healthcare,Salaried,424444.07,699,2020-08-17,Medium
100099,Neha,Verma,Female,1970-01-15,Warangal,Telangana,Retail,Salaried,427442.19,694,2017-10-15,Medium
100100,Riya,Das,Male,1995-01-09,Surat,Gujarat,Education,Salaried,876113.85,742,2020-04-19,Medium
100101,Kavya,Sharma,Male,2003-01-07,Pune,Maharashtra,Other,Salaried,676447.04,715,2017-03-01,Medium
100102,Siddharth,Sharma,Male,1978-01-13,Mangaluru,Karnataka,Manufacturing,Salaried,1301188.26,765,2024-10-07,Low
100103,Rahul,Kumar,Female,1982-01-12,Kolkata,West Bengal,Retail,Business Owner,996288.5,679,2018-05-07,High
100104,Aditya,Iyer,Female,1985-01-11,New Delhi,Delhi,Manufacturing,Salaried,2314360.8,798,2024-05-08,Low
100105,Vihaan,Rao,Male,2000-01-08,Kolkata,West Bengal,,Salaried,1491278.53,734,2024-06-19,Medium
100106,Priya,Rao,Male,1988-01-11,Surat,Gujarat,IT,Self-employed,552342.12,629,2018-06-20,High
100107,Arjun,Mehta,Female,1999-01-08,Mangaluru,Karnataka,Retail,Self-employed,754988.45,711,2015-09-10,Medium
100108,Aditya,Nair,Female,1994-01-09,Mangaluru,Karnataka,IT,Salaried,717822.23,798,2019-06-19,Low
100109,Diya,Patel,Male,1987-01-11,Mangaluru,Karnataka,Retail,Salaried,413533.38,691,2020-02-22,Medium
100110,Riya,Rao,Male,1962-01-17,Coimbatore,Tamil Nadu,Government,Salaried,701062.23,754,2024-09-29,Low
100111,Sneha,Nair,Male,1978-01-13,New Delhi,Delhi,Retail,Self-employed,413244.26,718,2023-05-07,Medium
100112,Sneha,Reddy,Female,1973-01-14,Kolkata,West Bengal,Other,Salaried,629272.62,711,2015-05-28,Medium
100113,Aditya,Reddy,Female,1963-01-17,Hyderabad,Telangana,IT,Self-employed,890134.22,677,2020-05-22,High
100114,Riya,Joshi,Male,1975-01-14,Chennai,Tamil Nadu,Finance,Self-employed,395808.09,583,2022-05-30,Very High
100115,Aditya,Mehta,Female,2002-01-07,Warangal,Telangana,Manufacturing,Salaried,180000.0,721,2020-02-10,Medium
100116,Aarav,Kumar,Female,1967-01-16,Vadodara,Gujarat,Government,Self-employed,626801.0,778,2020-03-29,Low
100117,Isha,Nair,Female,1969-01-15,Jaipur,Rajasthan,Manufacturing,Salaried,712485.06,707,2019-01-01,Medium
100118,Karan,Reddy,Male,2005-01-06,Hyderabad,Telangana,Retail,Salaried,614657.57,673,2018-11-20,High
100119,Priya,Kumar,Male,2000-01-08,Kolkata,West Bengal,IT,Salaried,902522.78,723,2025-12-24,Medium
100120,Siddharth,Verma,Male,1972-01-15,Mysuru,Karnataka,Other,Salaried,785454.68,661,2017-02-19,High
100121,Meera,Verma,Female,1994-01-09,Hyderabad,Telangana,Finance,Contract,874321.86,644,2022-07-03,High
100122,Aditya,Mishra,Female,1994-01-09,Bengaluru,Karnataka,Government,Business Owner,664172.02,694,2025-05-14,Medium
100123,Nikhil,Patel,Female,1963-01-17,Jaipur,Rajasthan,Finance,Salaried,411062.42,715,2021-05-11,Medium
100124,Arjun,Patel,Female,1972-01-15,Kolkata,West Bengal,Retail,Salaried,551875.41,677,2020-03-23,High
100125,Sneha,Sharma,Female,1982-01-12,Coimbatore,Tamil Nadu,Manufacturing,Salaried,975992.35,615,2016-04-11,High
100126,Rahul,Singh,Female,1978-01-13,Bengaluru,Karnataka,Other,Salaried,2329099.99,687,2019-06-05,Medium
100127,Aditya,Rao,Female,1997-01-08,New Delhi,Delhi,Other,Salaried,933033.89,730,2023-03-03,Medium
100128,Arjun,Sharma,Female,1972-01-15,Kolkata,West Bengal,Healthcare,Salaried,1003501.42,774,2018-05-28,Low
100129,Ananya,Rao,Male,2005-01-06,Mangaluru,Karnataka,Government,Salaried,684498.46,803,2019-07-10,Low
100130,Arjun,Reddy,Female,1989-01-10,Chennai,Tamil Nadu,Finance,Contract,959729.47,764,2016-09-08,Low
100131,Vikram,Shah,Female,1998-01-08,Jaipur,Rajasthan,Healthcare,Contract,1257942.1,747,2015-01-07,Medium
100132,Kavya,Rao,Female,1962-01-17,Mysuru,Karnataka,Education,Contract,616734.81,718,2016-08-21,Medium
100133,Vikram,Sharma,Female,1968-01-16,Coimbatore,Tamil Nadu,Finance,Salaried,975269.99,636,2025-09-18,High
100134,Nikhil,Iyer,Female,2003-01-07,Surat,Gujarat,Government,Contract,938697.34,788,2021-02-08,Low
100135,Sneha,Patel,Male,2005-01-06,Kolkata,West Bengal,Education,Salaried,354059.61,685,2020-04-08,Medium
100136,Priya,Gupta,Male,1977-01-13,Nagpur,Maharashtra,Education,Salaried,847923.41,733,2023-05-08,Medium
100137,Vihaan,Das,Female,1979-01-13,Surat,Gujarat,Retail,Salaried,957351.1,725,2017-01-14,Medium
100138,Aditi,Gupta,Female,1979-01-13,Kolkata,West Bengal,IT,Self-employed,346445.39,718,2018-03-12,Medium
100139,Karan,Gupta,Female,1976-01-14,Kolkata,West Bengal,Manufacturing,Salaried,1210608.97,781,2023-06-29,Low
100140,Isha,Gupta,Male,1999-01-08,New Delhi,Delhi,Manufacturing,Salaried,801689.26,707,2017-03-06,Medium
100141,Meera,Das,Female,1985-01-11,Surat,Gujarat,Education,Self-employed,751235.75,718,2016-07-05,Medium
100142,Rohan,Shah,Female,1966-01-16,Chennai,Tamil Nadu,Healthcare,Business Owner,1657956.07,672,2023-08-22,High
100143,Neha,Mehta,Male,1966-01-16,Mumbai,Maharashtra,Healthcare,Self-employed,623167.68,734,2025-07-07,Medium
100144,Isha,Sharma,Male,1981-01-12,Udaipur,Rajasthan,Manufacturing,Salaried,613777.31,580,2018-07-16,Very High
100145,Riya,Mishra,Female,1982-01-12,Vadodara,Gujarat,Education,Salaried,569565.97,726,2023-01-22,Medium
100146,Siddharth,Gupta,Female,1998-01-08,Coimbatore,Tamil Nadu,Other,Salaried,1088595.88,647,2023-02-07,High
100147,Neha,Mishra,Male,1990-01-10,Kolkata,West Bengal,Healthcare,Contract,467551.68,670,2024-09-11,High
100148,Isha,Joshi,Female,1971-01-15,Vadodara,Gujarat,Manufacturing,Salaried,796621.35,834,2017-10-05,Low
100149,Rahul,Rao,Female,1994-01-09,Chennai,Tamil Nadu,Manufacturing,Salaried,957832.54,691,2024-05-20,Medium
100150,Meera,Mehta,Female,2005-01-06,Pune,Maharashtra,Finance,Business Owner,415920.36,725,2016-08-03,Medium
100151,Nikhil,Joshi,Female,1988-01-11,Bengaluru,Karnataka,IT,Salaried,312322.52,649,2019-11-11,High
100152,Siddharth,Shah,Male,1961-01-17,Jaipur,Rajasthan,Finance,Business Owner,857599.38,691,2018-02-10,Medium
100153,Rohan,Verma,Male,2000-01-08,Surat,Gujarat,Retail,Salaried,320883.89,735,2021-05-08,Medium
100154,Aditya,Mishra,Male,1976-01-14,Vadodara,Gujarat,Manufacturing,Salaried,522823.01,767,2023-05-15,Low
100155,Vikram,Mehta,Female,1985-01-11,Chennai,Tamil Nadu,Government,Self-employed,1051347.29,732,2019-01-24,Medium
100156,Kavya,Singh,Male,1965-01-16,Kolkata,West Bengal,Government,Self-employed,1536149.12,746,2023-03-20,Medium
100157,Ananya,Iyer,Male,1993-01-09,Nagpur,Maharashtra,Finance,Salaried,783300.97,762,2018-07-17,Low
100158,Vikram,Joshi,Female,2003-01-07,New Delhi,Delhi,IT,Self-employed,751283.37,658,2015-05-27,High
100159,Ananya,Gupta,Female,1990-01-10,Kolkata,West Bengal,Finance,Business Owner,655848.85,584,2021-05-12,Very High
100160,Ananya,Nair,Female,1986-01-11,Bengaluru,Karnataka,Education,Self-employed,1523426.79,703,2017-04-26,Medium
100161,Aditya,Mehta,Male,1992-01-10,Surat,Gujarat,Healthcare,Self-employed,249441.16,670,2026-01-22,High
100162,Aditya,Mishra,Female,1998-01-08,Chennai,Tamil Nadu,Finance,Contract,1321708.74,710,2024-10-25,Medium
100163,Arjun,Joshi,Male,1964-01-17,Pune,Maharashtra,Education,Business Owner,750552.89,781,2020-03-23,Low
100164,Kavya,Reddy,Female,1963-01-17,Warangal,Telangana,Healthcare,Salaried,327354.64,645,2019-06-01,High
100165,Nikhil,Kumar,Female,1982-01-12,Hyderabad,Telangana,IT,Salaried,398620.97,595,2018-04-26,Very High
100166,Vikram,Gupta,Female,1990-01-10,Mangaluru,Karnataka,Retail,Salaried,813884.21,720,2016-11-13,Medium
100167,Isha,Mehta,Male,1968-01-16,Vadodara,Gujarat,IT,Business Owner,745624.36,624,2023-11-23,High
100168,Vikram,Kumar,Male,1965-01-16,Kolkata,West Bengal,Education,Contract,1741586.22,755,2015-09-07,Low
100169,Rohan,Patel,Male,1985-01-11,New Delhi,Delhi,Finance,Salaried,450554.93,781,2019-10-08,Low
100170,Rohan,Sharma,Female,1998-01-08,New Delhi,Delhi,Healthcare,Salaried,708928.74,664,2019-02-24,High
100171,Meera,Patel,Female,1994-01-09,Coimbatore,Tamil Nadu,IT,Business Owner,1221446.01,673,2025-09-09,High
100172,Aditya,Rao,Female,2000-01-08,Bengaluru,Karnataka,Other,Business Owner,217607.31,634,2023-09-03,High
100173,Neha,Patel,Female,1999-01-08,New Delhi,Delhi,Other,Salaried,456952.69,728,2020-05-21,Medium
100174,Aditi,Mishra,Male,1964-01-17,Udaipur,Rajasthan,Finance,Salaried,404459.08,634,2018-05-02,High
100175,Aditi,Patel,Female,1988-01-11,Kolkata,West Bengal,Finance,Salaried,485017.03,701,2017-03-22,Medium
100176,Isha,Reddy,Female,2004-01-07,Kolkata,West Bengal,Retail,Salaried,1893241.32,670,2024-03-16,High
100177,Karan,Gupta,Male,1964-01-17,Kolkata,West Bengal,Other,Salaried,682466.01,614,2021-07-13,High
100178,Vikram,Singh,Female,1981-01-12,Surat,Gujarat,Retail,Salaried,530811.31,742,2016-02-02,Medium
100179,Ananya,Rao,Female,1988-01-11,Vadodara,Gujarat,Retail,Self-employed,1161829.4,675,2017-12-17,High
100180,Aditya,Shah,Female,1979-01-13,Jaipur,Rajasthan,Government,Contract,1039534.49,784,2019-07-07,Low
100181,Aarav,Reddy,Female,1961-01-17,New Delhi,Delhi,IT,Salaried,539267.11,789,2015-12-16,Low
100182,Vikram,Shah,Female,1995-01-09,Nagpur,Maharashtra,Education,Business Owner,1161868.15,703,2025-10-07,Medium
100183,Siddharth,Kumar,Female,1967-01-16,Jaipur,Rajasthan,Retail,Self-employed,823375.05,675,2016-09-20,High
100184,Riya,Nair,Male,2002-01-07,Nagpur,Maharashtra,Other,Salaried,521283.44,636,2026-01-24,High
100185,Isha,Shah,Male,1988-01-11,Bengaluru,Karnataka,Government,Contract,1135346.87,686,2023-05-22,Medium
100186,Rahul,Das,Male,2000-01-08,Jaipur,Rajasthan,Education,Business Owner,391925.89,744,2015-10-17,Medium
100187,Arjun,Joshi,Female,2003-01-07,Vadodara,Gujarat,IT,Self-employed,922324.96,618,2021-08-31,High
100188,Rohan,Gupta,Male,1970-01-15,Mysuru,Karnataka,Retail,Salaried,850561.5,753,2025-09-17,Low
100189,Rohan,Rao,Male,1997-01-08,New Delhi,Delhi,Finance,Contract,266981.5,640,2019-08-28,High
100190,Aditya,Gupta,Male,2002-01-07,Jaipur,Rajasthan,Healthcare,Self-employed,1076975.16,849,2019-12-07,Low
100191,Ananya,Iyer,Female,1981-01-12,Bengaluru,Karnataka,Finance,Salaried,425070.42,827,2023-02-12,Low
100192,Aarav,Rao,Female,2003-01-07,Jaipur,Rajasthan,Healthcare,Salaried,1021802.28,628,2015-09-09,High
100193,Aditi,Sharma,Male,1981-01-12,Nagpur,Maharashtra,Government,Salaried,567457.19,677,2020-02-13,High
100194,Meera,Shah,Male,1992-01-10,Jaipur,Rajasthan,Finance,Contract,608651.36,720,2016-02-01,Medium
100195,Neha,Mehta,Male,1968-01-16,Surat,Gujarat,Manufacturing,Contract,1183332.39,722,2016-06-17,Medium
100196,Siddharth,Gupta,Male,1988-01-11,New Delhi,Delhi,Retail,Self-employed,880289.2,781,2023-10-15,Low
100197,Diya,Mehta,Female,1988-01-11,Kolkata,West Bengal,Manufacturing,Salaried,286122.2,705,2015-11-22,Medium
100198,Rahul,Mishra,Female,1964-01-17,Hyderabad,Telangana,Government,Salaried,1690263.49,670,2017-05-14,High
100199,Karan,Singh,Female,1982-01-12,Pune,Maharashtra,Retail,Salaried,1029289.24,622,2015-07-26,High
100200,Sneha,Kumar,Female,1997-01-08,Bengaluru,Karnataka,Manufacturing,Salaried,1098984.71,714,2022-03-14,Medium
100201,Vihaan,Verma,Male,1967-01-16,Kolkata,West Bengal,Retail,Salaried,316622.9,769,2016-04-16,Low
100202,Arjun,Joshi,Male,1978-01-13,Hyderabad,Telangana,Other,Salaried,761648.69,688,2019-11-12,Medium
100203,Arjun,Das,Female,1998-01-08,Pune,Maharashtra,Manufacturing,Self-employed,1180281.31,750,2025-05-19,Low
100204,Neha,Gupta,Male,1997-01-08,Kolkata,West Bengal,IT,Salaried,465246.24,610,2020-11-04,High
100205,Rohan,Kumar,Female,1984-01-12,Jaipur,Rajasthan,Manufacturing,Salaried,1389272.58,663,2021-10-26,High
100206,Priya,Sharma,Female,2003-01-07,Surat,Gujarat,Healthcare,Business Owner,2695265.76,783,2020-06-20,Low
100207,Riya,Mehta,Female,1973-01-14,Kolkata,West Bengal,Manufacturing,Self-employed,603465.53,780,2017-03-21,Low
100208,Nikhil,Joshi,Female,1986-01-11,Coimbatore,Tamil Nadu,Manufacturing,Salaried,1273725.72,660,2021-11-21,High
100209,Aditya,Reddy,Male,2003-01-07,Coimbatore,Tamil Nadu,Manufacturing,Self-employed,354933.73,621,2019-01-08,High
100210,Aditi,Rao,Male,2000-01-08,Coimbatore,Tamil Nadu,Manufacturing,Salaried,675298.59,691,2016-02-23,Medium
100211,Priya,Rao,Male,1988-01-11,Chennai,Tamil Nadu,Healthcare,Self-employed,1022387.03,706,2016-12-12,Medium
100212,Karan,Patel,Female,1989-01-10,Kolkata,West Bengal,Finance,Salaried,352454.5,718,2018-07-18,Medium
100213,Priya,Patel,Female,1968-01-16,New Delhi,Delhi,Manufacturing,Business Owner,617441.98,639,2021-09-08,High
100214,Siddharth,Reddy,Male,1986-01-11,Pune,Maharashtra,Government,Salaried,531945.66,772,2017-08-29,Low
100215,Nikhil,Das,Male,1965-01-16,Ahmedabad,Gujarat,Government,Salaried,2250046.15,707,2015-03-02,Medium
100216,Isha,Joshi,Male,1989-01-10,Kolkata,West Bengal,Healthcare,Contract,297315.43,711,2020-09-22,Medium
100217,Sneha,Reddy,Male,1977-01-13,Kolkata,West Bengal,Other,Contract,180000.0,687,2020-10-18,Medium
100218,Siddharth,Nair,Female,2002-01-07,Kolkata,West Bengal,Education,Salaried,682907.61,582,2019-09-07,Very High
100219,Kavya,Mehta,Female,1977-01-13,New Delhi,Delhi,Government,Business Owner,2264000.52,647,2015-10-16,High
100220,Isha,Joshi,Female,2000-01-08,Vadodara,Gujarat,Other,Salaried,1190383.31,713,2024-06-15,Medium
100221,Vihaan,Joshi,Female,1961-01-17,Hyderabad,Telangana,Retail,Salaried,1015593.71,721,2023-08-03,Medium
100222,Rohan,Rao,Female,1987-01-11,Kolkata,West Bengal,Manufacturing,Salaried,351890.74,665,2017-01-06,High
100223,Aditi,Iyer,Male,1964-01-17,Madurai,Tamil Nadu,Education,Business Owner,809997.84,655,2017-09-15,High
100224,Isha,Mehta,Female,1994-01-09,Udaipur,Rajasthan,Government,Salaried,1120372.87,612,2023-12-03,High
100225,Riya,Sharma,Male,1968-01-16,Warangal,Telangana,Healthcare,Salaried,374562.66,701,2026-06-07,Medium
